source_row;line;model;ct_seconds;oee_decimal;oee_percent;mapping_status
13;THB 3.5;K1ZH;32.0;0.8;80.0;OK
14;THB 3.5;K1ZH;32.0;0.8;80.0;OK
15;THB 3.5;KVSA;10.5;0.8;80.0;OK
16;THB 3.5;K31A;12.0;0.8;80.0;AMBIGUOUS
17;THB 3.5;KVSA;10.5;0.8;80.0;OK
18;THB 3.5;KVSA;10.5;0.8;80.0;OK
19;THB 3.5;KS1G;10.5;0.8;80.0;OK
20;THB 3.5;KVSA;10.5;0.8;80.0;OK
21;THB 3.5;KWTH;10.5;0.8;80.0;OK
22;THB 3.5;KWTH;10.5;0.8;80.0;OK
23;THB 3.5;K68A;10.5;0.8;80.0;OK
24;THB 3.5;K68A;10.5;0.8;80.0;OK
25;THB 3.5;K68A;10.5;0.8;80.0;OK
28;THB 3.5;K2KF;12.0;0.8;80.0;AMBIGUOUS
29;THB 3.5;K31A;10.5;0.8;80.0;AMBIGUOUS
30;THB 3.5;K2KF;10.5;0.8;80.0;AMBIGUOUS
31;THB 3.5;K68A;10.5;0.8;80.0;OK
32;THB 3.5;KVSA;10.5;0.8;80.0;OK
33;THB 3.5;KVSA;10.5;0.8;80.0;OK
34;THB 3.5;KWTH;10.5;0.8;80.0;OK
35;THB 3.5;KVSA;10.5;0.8;80.0;OK
36;THB 3.5;KVSA;10.5;0.8;80.0;OK
37;THB 3.5;MCGP;10.5;0.8;80.0;OK
38;THB 3.5;KSSG;10.5;0.8;80.0;OK
40;THB 3.5;K31A;12.5;0.8;80.0;AMBIGUOUS
41;THB 3.5;K68L;10.5;0.8;80.0;OK
42;THB 3.5;K68L;10.5;0.8;80.0;OK
45;THB 3.5;K68A;10.5;0.8;80.0;OK
48;THB 5.0;K36K;7.3;0.8;80.0;OK
49;THB 5.0;KVSP;7.3;0.8;80.0;OK
50;THB 5.0;KVSP;7.3;0.8;80.0;OK
51;THB 5.0;K36K;7.3;0.8;80.0;OK
52;THB 5.0;KSSV;7.3;0.8;80.0;OK
53;THB 5.0;KSSV;7.3;0.8;80.0;OK
54;THB 5.0;KWGM;7.3;0.8;80.0;OK
55;THB 5.0;K62A;7.3;0.8;80.0;OK
56;THB 5.0;K62A;7.3;0.8;80.0;OK
57;THB 5.0;K62A;7.3;0.8;80.0;OK
58;THB 5.0;K36K;7.3;0.8;80.0;OK
59;THB 5.0;K62A;7.3;0.8;80.0;OK
60;THB 5.0;KVSP;7.3;0.8;80.0;OK
61;THB 5.0;K36K;7.3;0.8;80.0;OK
62;THB 5.0;KVSP;7.3;0.8;80.0;OK
63;THB 5.0;KWGM;7.3;0.8;80.0;OK
64;THB 5.0;K62H;7.3;0.8;80.0;OK
65;THB 5.0;K1HG;7.3;0.8;80.0;OK
66;THB 5.0;KSSV;7.3;0.8;80.0;OK
67;THB 7.0;K1SJ;7.3;0.8;80.0;OK
68;THB 7.0;K68N;7.3;0.8;80.0;OK
72;INP;KVSP;16.5;0.8;80.0;OK
73;INP;KWGM;16.5;0.8;80.0;OK
74;INP;KVST;16.5;0.8;80.0;OK
75;INP;KVST;16.5;0.8;80.0;OK
76;INP;KVSP;16.5;0.8;80.0;OK
77;INP;K2GH;22.0;0.8;80.0;OK
82;INP;K3HA;26.0;0.8;80.0;OK
83;INP;K3HA;26.0;0.8;80.0;OK
86;INP;K1SJ;20.5;0.8;80.0;OK
93;INP;K68N;22.0;0.8;80.0;OK
147;SPL;R1A;60.0;0.85;85.0;OK
148;SPL;AP2DI;66.0;0.8;80.0;OK
149;SPL;AP2DI;66.0;0.8;80.0;OK
152;ACM;ACM;12.5;0.8;80.0;OK
168;VE;KPEJ;26.0;0.8;80.0;OK
169;VE;KPEJ;26.0;0.8;80.0;OK
170;VE;MCGL;26.0;0.8;80.0;OK
171;VE;MCGL;26.0;0.8;80.0;OK
172;VE;MCGR;26.0;0.8;80.0;OK
173;VE;MCGR;26.0;0.8;80.0;OK
174;VE;MCGR;26.0;0.8;80.0;OK
175;VE;HP0;26.0;0.8;80.0;OK
176;VE;HN1M;26.0;0.8;80.0;OK
177;VE;HN7A;26.0;0.8;80.0;OK
178;VE;HN7A;26.0;0.8;80.0;OK
179;VE;HN2A;26.0;0.8;80.0;OK
180;VE;HP0;26.0;0.8;80.0;OK
181;VE;HP0;26.0;0.8;80.0;OK
183;VE;HP0;26.0;0.8;80.0;OK
184;VE;HN50;26.0;0.8;80.0;OK
185;VE;HN5M;26.0;0.8;80.0;OK
186;VE;HN7A;26.0;0.8;80.0;OK
187;VE;HP1A;26.0;0.8;80.0;OK
188;VE;HN0A;26.0;0.8;80.0;OK
